1994	Thumbelina	thumbelina-1994	2020-09-19 02:44:54	https.//foro_pelis.es/carátulasthumbelina-1994_Poster.jpg	Poster
2021	Covid Diaries NYC	covid-diaries-nyc-2021	2021-03-10 18:47:58	https.//forummovies.org/covers/covid-diaries-nyc-2021_Carátula pequeña.jpg	Carátula pequeña
2017	Steel Rain	steel-rain-2017	2019-02-18 19:28:31	https.//palomitas.com/películas/steel-rain-2017_Poster.jpg	Poster
1984	Starman	starman-2022	2019-04-28 02:36:09	https.//forummovies.org/covers/starman-2022_Carátula_mediana.jpg	Carátula_mediana
2018	The Independents	the-independents-2018	2021-03-12 03:12:20	https.//forummovies.org/covers/the-independents-2018_Carátula grande.jpg	Carátula grande
2020	Hamlet/Horatio	hamlethoratio-2020	2021-06-06 14:08:18	https.//Movie_covers.com/hamlethoratio-2020_Carátula pequeña.jpg	Carátula pequeña
1970	Hercules in New York	hercules-in-new-york-1970	\N	https.//moviemania/covers/hercules-in-new-york-1970_Carátula_mediana.jpg	Carátula_mediana
2012	Welcome to the North	welcome-to-the-north-2012	2018-02-18 04:57:44	https.//forummovies.org/covers/welcome-to-the-north-2012_Carátula pequeña.jpg	Carátula pequeña
1938	Bluebeard's Eighth Wife	bluebeards-eighth-wife-1938	2018-12-28 08:51:16	https.//Movie_covers.com/bluebeards-eighth-wife-1938_Carátula pequeña.jpg	Carátula pequeña
2020	Primal	primal-2020	2021-03-15 19:51:01	https.//palomitas.com/películas/primal-2020_Carátula pequeña.jpg	Carátula pequeña
1960	Good-for-Nothing	good-for-nothing-1960	2021-11-07 20:02:47	https.//cinemanía.com/imágenes/good-for-nothing-1960_Poster.jpg	Poster
2017	Hotel Inferno 2: The Cathedral of Pain	hotel-inferno-2-the-cathedral-of-pain-2017	2021-05-02 06:33:06	https.//moviemania/covers/hotel-inferno-2-the-cathedral-of-pain-2017_Poster.jpg	Poster
2013	Mindless Behavior: All Around the World	mindless-behavior-all-around-the-world-2013	2021-05-01 18:19:58	https.//foro_pelis.es/carátulasmindless-behavior-all-around-the-world-2013_Poster.jpg	Poster
2016	Home Invasion	home-invasion-2016	2021-05-11 14:34:40	https.//palomitas.com/películas/home-invasion-2016_Carátula_mediana.jpg	Carátula_mediana
2021	Rhino	rhino-2021	2022-05-20 11:42:33	https.//forummovies.org/covers/rhino-2021_Carátula_mediana.jpg	Carátula_mediana
2009	Paranormal	paranormal-2009	2021-07-03 17:53:47	https.//cinemanía.com/imágenes/paranormal-2009_Carátula grande.jpg	Carátula grande
1973	Terminal Island	terminal-island-1973	2021-09-11 14:06:42	https.//foro_pelis.es/carátulasterminal-island-1973_Carátula pequeña.jpg	Carátula pequeña
1956	War and Peace	war-and-peace-1956	2016-03-07 15:09:24	https.//forummovies.org/covers/war-and-peace-1956_Carátula pequeña.jpg	Carátula pequeña
2017	Bluebeard	bluebeard-2017	2022-02-21 15:12:09	https.//cinemanía.com/imágenes/bluebeard-2017_Poster.jpg	Poster
2016	Brotherhood	brotherhood-2016	2017-01-03 21:00:21	https.//cinemanía.com/imágenes/brotherhood-2016_Carátula grande.jpg	Carátula grande
2015	Woman in Gold	woman-in-gold-2015	2015-11-01 04:09:57	https.//cinemanía.com/imágenes/woman-in-gold-2015_Poster.jpg	Poster
2016	Possession	possession-2016	2021-03-28 00:54:00	https.//palomitas.com/películas/possession-2016_Carátula pequeña.jpg	Carátula pequeña
2013	The Exhibition	the-exhibition-2013	2021-04-15 05:04:39	https.//Pelis_y_series/imágenes/the-exhibition-2013_Carátula pequeña.jpg	Carátula pequeña
2017	A Christmas Story Live!	a-christmas-story-live-2017	2020-12-28 16:08:32	https.//moviemania/covers/a-christmas-story-live-2017_Poster.jpg	Poster
1992	Article 99	article-99-1992	2019-05-25 23:17:28	https.//cinemanía.com/imágenes/article-99-1992_Poster.jpg	Poster
1991	Strays	strays-1991	2021-02-23 23:06:29	https.//foro_pelis.es/carátulasstrays-1991_Carátula pequeña.jpg	Carátula pequeña
2009	Goodbye Gary Cooper	goodbye-gary-cooper-2009	2021-08-30 01:00:35	https.//Movie_covers.com/goodbye-gary-cooper-2009_Carátula pequeña.jpg	Carátula pequeña
1936	Mayerling	mayerling-1936	2021-11-08 20:27:39	https.//foro_pelis.es/carátulasmayerling-1936_Carátula_mediana.jpg	Carátula_mediana
2005	Riding the Bus with My Sister	riding-the-bus-with-my-sister-2005	2021-08-17 03:33:36	https.//Pelis_y_series/imágenes/riding-the-bus-with-my-sister-2005_Carátula_mediana.jpg	Carátula_mediana
2004	From Other Worlds	from-other-worlds-2004	2022-03-01 21:45:54	https.//foro_pelis.es/carátulasfrom-other-worlds-2004_Carátula pequeña.jpg	Carátula pequeña
